ReinChange = -7.121866654819358, AlexChange = 6.712367538441652, AdamChange = 21.23151036615783, GallagherChange = 4.279035710463685, LukeChange = -11.1620627376511, ThomasChange = -13.256027575753908, MossChange = 4.596512553498087, GarrettChange = -5.134842852556422, Team1Perf = 1035, Team2Perf = 958, DateOfMatch = 18/04/2021 22:37:22
ReinChange = 24.8, BradleyChange = 24.8, ThomasChange = 24.8, HoekChange = 24.8, JackChange = -24.8, WesselChange = -24.8, TomChange = -24.8, NielsChange = -24.8, Team1Perf = 1200, Team2Perf = 800, DateOfMatch = 29/04/2021 18:52:01
ReinChange = 24.8, BradleyChange = 24.8, ThomasChange = 24.8, HoekChange = 24.8, JackChange = -24.8, WesselChange = -24.8, TomChange = -24.8, NielsChange = -24.8, Team1Perf = 1200, Team2Perf = 800, DateOfMatch = 29/04/2021 18:53:28
ReinChange = 24.8, BradleyChange = 24.8, ThomasChange = 24.8, HoekChange = 24.8, JackChange = -24.8, WesselChange = -24.8, TomChange = -24.8, NielsChange = -24.8, Team1Perf = 1200, Team2Perf = 800, DateOfMatch = 29/04/2021 18:55:41
ReinChange = 24.8, BradleyChange = 24.8, ThomasChange = 24.8, HoekChange = 24.8, JackChange = -24.8, WesselChange = -24.8, TomChange = -24.8, NielsChange = -24.8, Team1Perf = 1200, Team2Perf = 800, DateOfMatch = 29/04/2021 18:56:10
ReinChange = 52.67652835600561, JackChange = 52.67652835600561, AlexChange = 60.85611350445369, AaronChange = 60.85611350445369, MossChange = -60.93110563446535, AdamChange = -60.93110563446535, HoekChange = -52.74144089865011, LukeChange = -60.93110563446535, Team1Perf = 1406, Team2Perf = 600, DateOfMatch = 29/04/2021 18:56:10
AronChange = 189.88461498267867, ReinChange = 146.13239954888175, LukeChange = 164.36248931296382, ThomasChange = 164.36248931296382, JackChange = -146.31855547187396, AdamChange = -164.5718682802415, MossChange = -164.5718682802415, AlexChange = -164.5718682802415, Team1Perf = 1992, Team2Perf = 10, DateOfMatch = 29/04/2021 18:56:10
ReinChange = 43.80051524438416, MossChange = 48.32162540586063, AaronChange = 54.349772287829275, AronChange = 54.349772287829275, LukeChange = -48.371855785700404, AdamChange = -48.371855785700404, AlexChange = -48.371855785700404, KoenChange = -62.85444733830532, Team1Perf = 1544, Team2Perf = 463, DateOfMatch = 29/04/2021 18:56:10
LukeChange = 29.99648422957561, ReinChange = 27.588288642743915, KoenChange = 37.2210709900707, LuddowChange = 43.000740398466775, JackChange = -30.018540467979708, NielsChange = -37.24843942462223, TomChange = -37.24843942462223, ThomasChange = -33.11706859225507, Team1Perf = 1406, Team2Perf = 666, DateOfMatch = 29/04/2021 18:56:10
ReinChange = -3.450334801004895, LukeChange = -3.7093689452244814, BradleyChange = -5.004539666322415, AdamChange = -4.033161625498965, ThomasChange = 3.949572783519712, MossChange = 3.949572783519712, AaronChange = 4.357249577854942, AlexChange = 3.949572783519712, Team1Perf = 986, Team2Perf = 1034, DateOfMatch = 29/04/2021 18:56:10
ReinChange = -44.03769086071232, WesselChange = -68.05475612069941, JackChange = -50.44224159670888, AdamChange = -50.44224159670888, LukeChange = 48.35830578144954, WesselChange = 70.1413264037241, MossChange = 51.98880921849529, AdamChange = 51.98880921849529, Team1Perf = 503, Team2Perf = 1361, DateOfMatch = 29/04/2021 18:56:10
ReinChange = 93.3119651297289, AdamChange = 105.15358507004984, BradleyChange = 135.60346491658936, TomChange = 135.60346491658936, LukeChange = -98.78880626821238, MossChange = -105.25404228052996, ThomasChange = -113.15599740669587, JeftaChange = -176.37163841602316, Team1Perf = 2043, Team2Perf = -4, DateOfMatch = 08/06/2021 22:52:13
MarlonChange = -42.12872439841688, LuddowChange = -36.46626144164042, ReinChange = -21.221168865703785, MossChange = -23.59702744896664, LukeChange = 15.783184547405837, TomChange = 20.79054005102444, ThomasChange = 17.786126748853277, JackChange = 17.786126748853277, Team1Perf = 790, Team2Perf = 1241, DateOfMatch = 14/06/2021 19:54:27
AlexChange = 42.75997814182858, MossChange = 42.75997814182858, ReinChange = 42.75997814182858, HoekChange = 42.75997814182858, LukeChange = -59.437347320048964, AdamChange = -59.437347320048964, RachelChange = -59.437347320048964, JackChange = -59.437347320048964, Team1Perf = 1338, Team2Perf = 575, DateOfMatch = 24/10/2021 22:56:08
ReinChange = 12.805400961378952, LukeChange = 12.805400961378952, MossChange = 12.805400961378952, RachelChange = 12.805400961378952, AdamChange = -12.88087483737922, ThomasChange = -14.881010681692764, KoenChange = -14.881010681692764, NielsChange = -14.881010681692764, Team1Perf = 1151, Team2Perf = 823, DateOfMatch = 28/11/2021 21:48:31
ReinChange = 24.8, BradleyChange = 24.8, ThomasChange = 24.8, HoekChange = 24.8, JackChange = -24.8, WesselChange = -24.8, TomChange = -24.8, NielsChange = -24.8, Team1Perf = 1200, Team2Perf = 800, DateOfMatch = 28/11/2021 22:16:13
ReinChange = 49.46335749510324, JackChange = 55.8247866742635, AlexChange = 60.89360956945952, AaronChange = 60.89360956945952, MossChange = -59.99370400931973, AdamChange = -59.99370400931973, HoekChange = -55.17566124781858, LukeChange = -59.99370400931973, Team1Perf = 1406, Team2Perf = 600, DateOfMatch = 28/11/2021 22:16:13
AronChange = 191.42762981588507, ReinChange = 136.19300177999023, LukeChange = 175.5432138798259, ThomasChange = 161.52645535710215, JackChange = -151.62227431279956, AdamChange = -155.35240696018812, MossChange = -155.35240696018812, AlexChange = -175.37634770693634, Team1Perf = 1993, Team2Perf = 10, DateOfMatch = 28/11/2021 22:16:13
ReinChange = 30.69822919552433, MossChange = 76.93349971079238, AaronChange = 55.26157976897011, AronChange = 40.36596876128475, LukeChange = -66.21740119654271, AdamChange = -32.75486715676311, AlexChange = -42.86439405699864, KoenChange = -70.67346272424534, Team1Perf = 1547, Team2Perf = 462, DateOfMatch = 28/11/2021 22:16:13
LukeChange = 31.800188771238364, ReinChange = 13.38430596269619, KoenChange = 52.946658312496965, LuddowChange = 52.15392965910946, JackChange = -20.211984388498962, NielsChange = -35.66932770526111, TomChange = -35.66932770526111, ThomasChange = -52.623929230026164, Team1Perf = 1405, Team2Perf = 656, DateOfMatch = 28/11/2021 22:16:13
ReinChange = -18.999629066030167, LukeChange = -7.164352979808695, BradleyChange = -3.7018236542527516, AdamChange = 19.47433238401211, ThomasChange = -8.78416694768206, MossChange = 13.756336918068131, AaronChange = -8.045252946302638, AlexChange = 15.330857408690386, Team1Perf = 989, Team2Perf = 1029, DateOfMatch = 28/11/2021 22:16:13
ReinChange = 76.97803392957282, AdamChange = 140.67070454856938, BradleyChange = 135.15249615921903, TomChange = 146.12178692965662, LukeChange = -113.62505015620228, MossChange = -99.6887898205351, ThomasChange = -127.91324899962206, JeftaChange = -177.02506939957655, Team1Perf = 2020, Team2Perf = -6, DateOfMatch = 28/11/2021 22:16:13
MarlonChange = -46.91383969986571, LuddowChange = -50.30297037468648, ReinChange = -60.20791211893304, MossChange = 0, LukeChange = 17.807310863847643, TomChange = 12.022999877590248, ThomasChange = 16.40131775208843, JackChange = 28.01797867636117, Team1Perf = 778, Team2Perf = 1236, DateOfMatch = 28/11/2021 22:16:13
AlexChange = 37.499054192248906, MossChange = 38.26154836266481, ReinChange = 5.452161582170553, HoekChange = 34.80004449823672, LukeChange = -38.146520482944034, AdamChange = -36.150891247966946, RachelChange = -75.33092090918413, JackChange = -33.56128585771143, Team1Perf = 1346, Team2Perf = 566, DateOfMatch = 28/11/2021 22:16:13
ReinChange = -6.1084195992131685, LukeChange = 12.659465814770725, MossChange = 21.21917596053344, RachelChange = 23.600939711607648, AdamChange = -6.175191988274174, ThomasChange = -15.338380099906821, KoenChange = -17.972624101821225, NielsChange = -14.14089713595071, Team1Perf = 1155, Team2Perf = 786, DateOfMatch = 28/11/2021 22:16:13
ReinChange = 24.8, BradleyChange = 24.8, ThomasChange = 24.8, HoekChange = 24.8, JackChange = -24.8, WesselChange = -24.8, TomChange = -24.8, NielsChange = -24.8, Team1Perf = 1200, Team2Perf = 800, DateOfMatch = 28/11/2021 23:12:46
ReinChange = 52.67652835600561, JackChange = 52.67652835600561, AlexChange = 60.85611350445369, AaronChange = 60.85611350445369, MossChange = -60.93110563446535, AdamChange = -60.93110563446535, HoekChange = -52.74144089865011, LukeChange = -60.93110563446535, Team1Perf = 1406, Team2Perf = 600, DateOfMatch = 28/11/2021 23:12:46
AronChange = 189.88461498267867, ReinChange = 146.13239954888175, LukeChange = 164.36248931296382, ThomasChange = 164.36248931296382, JackChange = -146.31855547187396, AdamChange = -164.5718682802415, MossChange = -164.5718682802415, AlexChange = -164.5718682802415, Team1Perf = 1992, Team2Perf = 10, DateOfMatch = 28/11/2021 23:12:46
ReinChange = 43.80051524438416, MossChange = 48.32162540586063, AaronChange = 54.349772287829275, AronChange = 54.349772287829275, LukeChange = -48.371855785700404, AdamChange = -48.371855785700404, AlexChange = -48.371855785700404, KoenChange = -62.85444733830532, Team1Perf = 1544, Team2Perf = 463, DateOfMatch = 28/11/2021 23:12:46
LukeChange = 29.99648422957561, ReinChange = 27.588288642743915, KoenChange = 37.2210709900707, LuddowChange = 43.000740398466775, JackChange = -30.018540467979708, NielsChange = -37.24843942462223, TomChange = -37.24843942462223, ThomasChange = -33.11706859225507, Team1Perf = 1406, Team2Perf = 666, DateOfMatch = 28/11/2021 23:12:46
ReinChange = -3.450334801004895, LukeChange = -3.7093689452244814, BradleyChange = -5.004539666322415, AdamChange = -4.033161625498965, ThomasChange = 3.949572783519712, MossChange = 3.949572783519712, AaronChange = 4.357249577854942, AlexChange = 3.949572783519712, Team1Perf = 986, Team2Perf = 1034, DateOfMatch = 28/11/2021 23:12:46
ReinChange = 101.27618274604262, AdamChange = 116.00512148165092, BradleyChange = 139.1505966376068, TomChange = 139.1505966376068, LukeChange = -107.98325587682977, MossChange = -116.09010691863382, ThomasChange = -116.09010691863382, JeftaChange = -180.9449152530661, Team1Perf = 2018, Team2Perf = -6, DateOfMatch = 28/11/2021 23:12:46
MarlonChange = -51.86448719475819, LuddowChange = -44.89345396965629, ReinChange = -27.465870906901515, MossChange = -30.951387519452474, LukeChange = 16.33624359233967, TomChange = 20.34546567815602, ThomasChange = 17.4053694818907, JackChange = 18.71207890245306, Team1Perf = 788, Team2Perf = 1238, DateOfMatch = 28/11/2021 23:12:46
AlexChange = 26.855625391662972, MossChange = 23.44582023782054, ReinChange = 21.08518590054501, HoekChange = 32.21389063341536, LukeChange = -30.395881173830876, AdamChange = -34.253226500459164, RachelChange = -57.397298460228875, JackChange = -34.253226500459164, Team1Perf = 1326, Team2Perf = 569, DateOfMatch = 28/11/2021 23:12:46
ReinChange = 8.128394747818206, LukeChange = 8.502354756459086, MossChange = 8.938641433206783, RachelChange = 14.610368230926824, AdamChange = -9.48691013802793, ThomasChange = -9.48691013802793, KoenChange = -13.034744894208906, NielsChange = -13.034744894208906, Team1Perf = 1146, Team2Perf = 801, DateOfMatch = 28/11/2021 23:12:46
ReinChange = 119.44442111284938, AlvesChange = 119.44442111284938, AlexChange = 119.44442111284938, MossChange = 119.44442111284938, GarrettChange = -155.03327239201892, GallagherChange = -155.03327239201892, LukeChange = -155.03327239201892, JackChange = -155.03327239201892, Team1Perf = 1752, Team2Perf = 199, DateOfMatch = 29/09/2022 21:25:31
GallagherChange = 33.515633433317554, JackChange = 33.515633433317554, LuddowChange = 38.719924339112204, ReinChange = 33.515633433317554, LukeChange = -43.065951800931984, GarrettChange = -43.065951800931984, AlvesChange = -43.065951800931984, AlexChange = -43.065951800931984, Team1Perf = 1345, Team2Perf = 612, DateOfMatch = 29/09/2022 22:51:05
ReinChange = 31.62598760032636, RikChange = 41.09484616329833, LukeChange = 31.62598760032636, RachelChange = 41.09484616329833, AlvesChange = -31.69902683265968, AaronChange = -41.18975342926438, JackChange = -31.69902683265968, AlexChange = -31.69902683265968, Team1Perf = 1382, Team2Perf = 657, DateOfMatch = 13/10/2022 21:24:08
LukeChange = 50.40373723312191, AaronChange = 62.543365661137784, AlexChange = 50.40373723312191, RikChange = 62.543365661137784, ReinChange = -50.42686882432572, JackChange = -50.42686882432572, RachelChange = -62.57206844482807, AlvesChange = -50.42686882432572, Team1Perf = 1494, Team2Perf = 549, DateOfMatch = 13/10/2022 22:42:38
ReinChange = -2479.8016000000002, BradleyChange = -2479.8016000000002, ThomasChange = -2479.8016000000002, HoekChange = -2479.8016000000002, JackChange = 2479.8016000000002, WesselChange = 2479.8016000000002, TomChange = 2479.8016000000002, NielsChange = 2479.8016000000002, Team1Perf = 1200, Team2Perf = 800, DateOfMatch = 13/10/2022 23:10:13
ReinChange = -4901.961119774381, JackChange = 11532.77992068883, AlexChange = 3828.3101549733515, AaronChange = 3828.3101549733515, MossChange = -8352.058058762323, AdamChange = -8352.058058762323, HoekChange = 10696.782274607927, LukeChange = -8352.058058762323, Team1Perf = 780, Team2Perf = 600, DateOfMatch = 13/10/2022 23:10:13
AronChange = -67847.12983359375, ReinChange = 333155.18358716514, LukeChange = 431804.2515472657, ThomasChange = 86869.47200039064, JackChange = 784046.6570256697, AdamChange = -431859.73673828127, MossChange = -431859.73673828127, AlexChange = 283650.29998046876, Team1Perf = 2284, Team2Perf = -4553, DateOfMatch = 13/10/2022 23:10:13
ReinChange = -299161300.3938788, MossChange = 443599407.35829675, AaronChange = -5485602.437391018, AronChange = 75937496.9692965, LukeChange = 428698549.49013686, AdamChange = -443604319.0714347, AlexChange = 291365468.63123506, KoenChange = 1312300.1326078125, Team1Perf = 69280, Team2Perf = -44214, DateOfMatch = 13/10/2022 23:10:13
ReinChange = 0, BradleyChange = 0, ThomasChange = 0, HoekChange = 0, JackChange = -0, WesselChange = -0, TomChange = -0, NielsChange = -0, Team1Perf = 1200, Team2Perf = 800, DateOfMatch = 13/10/2022 23:33:31
ReinChange = 0, JackChange = 0, AlexChange = 0, AaronChange = 0, MossChange = -0, AdamChange = -0, HoekChange = -0, LukeChange = -0, Team1Perf = 1400, Team2Perf = 600, DateOfMatch = 13/10/2022 23:33:31
AronChange = 0, ReinChange = 0, LukeChange = 0, ThomasChange = 0, JackChange = -0, AdamChange = -0, MossChange = -0, AlexChange = -0, Team1Perf = 2000, Team2Perf = 0, DateOfMatch = 13/10/2022 23:33:31
ReinChange = 0, MossChange = 0, AaronChange = 0, AronChange = 0, LukeChange = -0, AdamChange = -0, AlexChange = -0, KoenChange = -0, Team1Perf = 1600, Team2Perf = 400, DateOfMatch = 13/10/2022 23:33:31
LukeChange = 0, ReinChange = 0, KoenChange = 0, LuddowChange = 0, JackChange = -0, NielsChange = -0, TomChange = -0, ThomasChange = -0, Team1Perf = 1400, Team2Perf = 600, DateOfMatch = 13/10/2022 23:33:31
ReinChange = 0, LukeChange = 0, BradleyChange = 0, AdamChange = 0, ThomasChange = 0, MossChange = 0, AaronChange = 0, AlexChange = 0, Team1Perf = 1000, Team2Perf = 1000, DateOfMatch = 13/10/2022 23:33:31
ReinChange = 0, AdamChange = 0, BradleyChange = 0, TomChange = 0, LukeChange = -0, MossChange = -0, ThomasChange = -0, JeftaChange = -0, Team1Perf = 2000, Team2Perf = 0, DateOfMatch = 13/10/2022 23:33:31
MarlonChange = -0, LuddowChange = -0, ReinChange = -0, MossChange = -0, LukeChange = 0, TomChange = 0, ThomasChange = 0, JackChange = 0, Team1Perf = 800, Team2Perf = 1200, DateOfMatch = 13/10/2022 23:33:31
AlexChange = 0, MossChange = 0, ReinChange = 0, HoekChange = 0, LukeChange = -0, AdamChange = -0, RachelChange = -0, JackChange = -0, Team1Perf = 1400, Team2Perf = 600, DateOfMatch = 13/10/2022 23:33:31
ReinChange = 0, LukeChange = 0, MossChange = 0, RachelChange = 0, AdamChange = -0, ThomasChange = -0, KoenChange = -0, NielsChange = -0, Team1Perf = 1200, Team2Perf = 800, DateOfMatch = 13/10/2022 23:33:31
ReinChange = 0, AlvesChange = 0, AlexChange = 0, MossChange = 0, GarrettChange = -0, GallagherChange = -0, LukeChange = -0, JackChange = -0, Team1Perf = 1800, Team2Perf = 200, DateOfMatch = 13/10/2022 23:33:31
GallagherChange = 0, JackChange = 0, LuddowChange = 0, ReinChange = 0, LukeChange = -0, GarrettChange = -0, AlvesChange = -0, AlexChange = -0, Team1Perf = 1400, Team2Perf = 600, DateOfMatch = 13/10/2022 23:33:31
ReinChange = 0, RikChange = 0, LukeChange = 0, RachelChange = 0, AlvesChange = -0, AaronChange = -0, JackChange = -0, AlexChange = -0, Team1Perf = 1400, Team2Perf = 600, DateOfMatch = 13/10/2022 23:33:31
LukeChange = 0, AaronChange = 0, AlexChange = 0, RikChange = 0, ReinChange = -0, JackChange = -0, RachelChange = -0, AlvesChange = -0, Team1Perf = 1400, Team2Perf = 600, DateOfMatch = 13/10/2022 23:33:31
ReinChange = 0, BradleyChange = 0, ThomasChange = 0, HoekChange = 0, JackChange = -0, WesselChange = -0, TomChange = -0, NielsChange = -0, Team1Perf = 1200, Team2Perf = 800, DateOfMatch = 13/10/2022 23:41:09
ReinChange = 0, JackChange = 0, AlexChange = 0, AaronChange = 0, MossChange = -0, AdamChange = -0, HoekChange = -0, LukeChange = -0, Team1Perf = 1400, Team2Perf = 600, DateOfMatch = 13/10/2022 23:41:25
AronChange = 0, ReinChange = 0, LukeChange = 0, ThomasChange = 0, JackChange = -0, AdamChange = -0, MossChange = -0, AlexChange = -0, Team1Perf = 2000, Team2Perf = 0, DateOfMatch = 13/10/2022 23:41:25
ReinChange = 0, MossChange = 0, AaronChange = 0, AronChange = 0, LukeChange = -0, AdamChange = -0, AlexChange = -0, KoenChange = -0, Team1Perf = 1600, Team2Perf = 400, DateOfMatch = 13/10/2022 23:41:25
LukeChange = 0, ReinChange = 0, KoenChange = 0, LuddowChange = 0, JackChange = -0, NielsChange = -0, TomChange = -0, ThomasChange = -0, Team1Perf = 1400, Team2Perf = 600, DateOfMatch = 13/10/2022 23:41:25
ReinChange = 0, LukeChange = 0, BradleyChange = 0, AdamChange = 0, ThomasChange = 0, MossChange = 0, AaronChange = 0, AlexChange = 0, Team1Perf = 1000, Team2Perf = 1000, DateOfMatch = 13/10/2022 23:41:25
ReinChange = 0, AdamChange = 0, BradleyChange = 0, TomChange = 0, LukeChange = -0, MossChange = -0, ThomasChange = -0, JeftaChange = -0, Team1Perf = 2000, Team2Perf = 0, DateOfMatch = 13/10/2022 23:41:26
MarlonChange = -0, LuddowChange = -0, ReinChange = -0, MossChange = -0, LukeChange = 0, TomChange = 0, ThomasChange = 0, JackChange = 0, Team1Perf = 800, Team2Perf = 1200, DateOfMatch = 13/10/2022 23:41:26
AlexChange = 0, MossChange = 0, ReinChange = 0, HoekChange = 0, LukeChange = -0, AdamChange = -0, RachelChange = -0, JackChange = -0, Team1Perf = 1400, Team2Perf = 600, DateOfMatch = 13/10/2022 23:41:26
ReinChange = 0, LukeChange = 0, MossChange = 0, RachelChange = 0, AdamChange = -0, ThomasChange = -0, KoenChange = -0, NielsChange = -0, Team1Perf = 1200, Team2Perf = 800, DateOfMatch = 13/10/2022 23:41:26
ReinChange = 0, AlvesChange = 0, AlexChange = 0, MossChange = 0, GarrettChange = -0, GallagherChange = -0, LukeChange = -0, JackChange = -0, Team1Perf = 1800, Team2Perf = 200, DateOfMatch = 13/10/2022 23:41:26
GallagherChange = 0, JackChange = 0, LuddowChange = 0, ReinChange = 0, LukeChange = -0, GarrettChange = -0, AlvesChange = -0, AlexChange = -0, Team1Perf = 1400, Team2Perf = 600, DateOfMatch = 13/10/2022 23:41:26
ReinChange = 0, RikChange = 0, LukeChange = 0, RachelChange = 0, AlvesChange = -0, AaronChange = -0, JackChange = -0, AlexChange = -0, Team1Perf = 1400, Team2Perf = 600, DateOfMatch = 13/10/2022 23:41:26
LukeChange = 0, AaronChange = 0, AlexChange = 0, RikChange = 0, ReinChange = -0, JackChange = -0, RachelChange = -0, AlvesChange = -0, Team1Perf = 1400, Team2Perf = 600, DateOfMatch = 13/10/2022 23:41:26
ReinChange = 0, BradleyChange = 0, ThomasChange = 0, HoekChange = 0, JackChange = 0, WesselChange = 0, TomChange = 0, NielsChange = 0, Team1Perf = 1200, Team2Perf = 800, DateOfMatch = 13/10/2022 23:53:40
ReinChange = 0, JackChange = 0, AlexChange = 0, AaronChange = 0, MossChange = 0, AdamChange = 0, HoekChange = 0, LukeChange = 0, Team1Perf = 1400, Team2Perf = 600, DateOfMatch = 13/10/2022 23:53:40
AronChange = 0, ReinChange = 0, LukeChange = 0, ThomasChange = 0, JackChange = 0, AdamChange = 0, MossChange = 0, AlexChange = 0, Team1Perf = 2000, Team2Perf = 0, DateOfMatch = 13/10/2022 23:53:40
ReinChange = 0, MossChange = 0, AaronChange = 0, AronChange = 0, LukeChange = 0, AdamChange = 0, AlexChange = 0, KoenChange = 0, Team1Perf = 1600, Team2Perf = 400, DateOfMatch = 13/10/2022 23:53:40
LukeChange = 0, ReinChange = 0, KoenChange = 0, LuddowChange = 0, JackChange = 0, NielsChange = 0, TomChange = 0, ThomasChange = 0, Team1Perf = 1400, Team2Perf = 600, DateOfMatch = 13/10/2022 23:53:40
