ReinChange = 16, Volatility: 1.55, BradleyChange = 16, Volatility: 1.55, ThomasChange = 16, Volatility: 1.55, HoekChange = 16, Volatility: 1.55, JackChange = -16, Volatility: 1.55, WesselChange = -16, Volatility: 1.55, TomChange = -16, Volatility: 1.55, NielsChange = -16, Volatility: 1.55, Team1Perf = 1200, Team2Perf = 800, DateOfMatch = 21/10/2022 15:44:22
AlexChange = 14.10146402147531, Volatility: 0.9944444444444445, MossChange = 14.10146402147531, Volatility: 0.8681818181818182, ReinChange = 35.38342812750554, Volatility: 0.7807692307692307, HoekChange = 7.180500084554913, Volatility: 1.1928571428571428, LukeChange = -3.6420910606410186, Volatility: 0.8208333333333333, AdamChange = -14.191596201808107, Volatility: 0.925, RachelChange = -1.883840203779837, Volatility: 1.55, JackChange = -15.949847058669288, Volatility: 0.925, Team1Perf = 1403, Team2Perf = 631, DateOfMatch = 21/10/2022 15:44:47
ReinChange = 18.1248260113501, Volatility: 0.7464285714285714, LukeChange = 5.5067378827240745, Volatility: 0.7807692307692307, MossChange = 5.798485585120052, Volatility: 0.8208333333333333, RachelChange = 6.819602543505973, Volatility: 1.3416666666666668, AdamChange = -2.0184401171885997, Volatility: 0.8681818181818182, ThomasChange = -0.8440749580970508, Volatility: 0.8681818181818182, KoenChange = -0.4036880234377199, Volatility: 1.1928571428571428, NielsChange = -3.2662030987233703, Volatility: 1.1928571428571428, Team1Perf = 1204, Team2Perf = 845, DateOfMatch = 21/10/2022 15:44:47
ReinChange = 127.62389372178073, Volatility: 0.7166666666666666, AlvesChange = 48.12048451804847, Volatility: 1.55, AlexChange = 42.541297907260244, Volatility: 0.925, MossChange = 36.96211129647202, Volatility: 0.7807692307692307, GarrettChange = -8.435493521297252, Volatility: 1.55, GallagherChange = -8.435493521297252, Volatility: 1.55, LukeChange = -24.724722390009187, Volatility: 0.7464285714285714, JackChange = -41.59570943260369, Volatility: 0.8681818181818182, Team1Perf = 1792, Team2Perf = 251, DateOfMatch = 21/10/2022 15:44:47
GallagherChange = 21.041787642341678, Volatility: 1.3416666666666668, JackChange = 46.834946687792765, Volatility: 0.8208333333333333, LuddowChange = 21.381171313992347, Volatility: 1.1928571428571428, ReinChange = 89.2579056441268, Volatility: 0.690625, LukeChange = -14.59352656774186, Volatility: 0.7166666666666666, GarrettChange = -13.62062479655907, Volatility: 1.3416666666666668, AlvesChange = -14.107075682150466, Volatility: 1.3416666666666668, AlexChange = -14.107075682150466, Volatility: 0.8681818181818182, Team1Perf = 1420, Team2Perf = 654, DateOfMatch = 21/10/2022 15:44:47
ReinChange = 102.43132210319803, Volatility: 0.6676470588235293, RikChange = 32.159632201891874, Volatility: 1.55, LukeChange = 40.09619953192175, Volatility: 0.690625, RachelChange = 30.175490369384406, Volatility: 1.1928571428571428, AlvesChange = -4.474661175164525, Volatility: 1.1928571428571428, AaronChange = -10.44087607538389, Volatility: 1.08125, JackChange = -19.390198425712942, Volatility: 0.7807692307692307, AlexChange = -4.474661175164525, Volatility: 0.8208333333333333, Team1Perf = 1421, Team2Perf = 697, DateOfMatch = 21/10/2022 15:44:47
LukeChange = 7.876801286034212, Volatility: 0.6676470588235293, AaronChange = 6.751543959457896, Volatility: 0.9944444444444445, AlexChange = 46.88572194067983, Volatility: 0.7807692307692307, RikChange = 1.125257326576316, Volatility: 1.3416666666666668, ReinChange = -256.9017250056658, Volatility: 0.6472222222222221, JackChange = -126.25078185390427, Volatility: 0.7464285714285714, RachelChange = -63.294627899946654, Volatility: 1.08125, AlvesChange = -67.35631525181488, Volatility: 1.08125, Team1Perf = 1530, Team2Perf = 631, DateOfMatch = 21/10/2022 15:44:47
ReinChange = 16, Volatility: 1.55, BradleyChange = 16, Volatility: 1.55, ThomasChange = 16, Volatility: 1.55, HoekChange = 16, Volatility: 1.55, JackChange = -16, Volatility: 1.55, WesselChange = -16, Volatility: 1.55, TomChange = -16, Volatility: 1.55, NielsChange = -16, Volatility: 1.55, Team1Perf = 1200, Team2Perf = 800, DateOfMatch = 21/10/2022 15:50:17
ReinChange = -7.429065639835508, Volatility: 1.3416666666666668, JackChange = 7.429065639835508, Volatility: 1.3416666666666668, AlexChange = 38.6930502074766, Volatility: 1.55, AaronChange = 38.6930502074766, Volatility: 1.55, MossChange = -1.8572664099588767, Volatility: 1.55, AdamChange = -1.8572664099588767, Volatility: 1.55, HoekChange = -5.57179922987663, Volatility: 1.3416666666666668, LukeChange = -1.8572664099588767, Volatility: 1.55, Team1Perf = 1404, Team2Perf = 600, DateOfMatch = 21/10/2022 15:50:17
AronChange = 8.633100696060984, Volatility: 1.55, ReinChange = -4.316550348030492, Volatility: 1.1928571428571428, LukeChange = 10.071950812071147, Volatility: 1.3416666666666668, ThomasChange = -14.388501160101638, Volatility: 1.3416666666666668, JackChange = -21.947944405086357, Volatility: 1.1928571428571428, AdamChange = -11.873478120784423, Volatility: 1.3416666666666668, MossChange = -11.873478120784423, Volatility: 1.3416666666666668, AlexChange = -45.6949006466552, Volatility: 1.3416666666666668, Team1Perf = 2007, Team2Perf = 6, DateOfMatch = 21/10/2022 15:50:17
ReinChange = 4.315414971213649, Volatility: 1.08125, MossChange = 18.289139639905464, Volatility: 1.1928571428571428, AaronChange = -23.632034366169982, Volatility: 1.3416666666666668, AronChange = 1.0274797550508687, Volatility: 1.3416666666666668, LukeChange = -9.86800122724142, Volatility: 1.1928571428571428, AdamChange = -8.223334356034515, Volatility: 1.1928571428571428, AlexChange = -3.2893337424138065, Volatility: 1.1928571428571428, KoenChange = -1.6446668712069032, Volatility: 1.55, Team1Perf = 1598, Team2Perf = 410, DateOfMatch = 21/10/2022 15:50:17
